# wme_scene_export  D:\Program Files\Slam-Model\data\rgbd_dataset_freiburg3_nostructure_notexture_far
# 좌표계는 카메라 좌표계. 뷰어가 각 시스템의 추정 포즈로 옮긴다.
# PLANE	frame	nx	ny	nz	d	cx	cy	cz	extent	rms	inliers	conf
# BOX	frame	class	conf	cx	cy	cz	sx	sy	sz
PLANE	200	-0.01747	0.46218	0.88661	1.74048	-0.05310	-0.09932	2.01379	0.79833	0.01116	16651	0.81750
PLANE	205	-0.02156	0.46217	0.88653	1.73769	-0.05204	-0.09921	2.01056	0.79723	0.01093	16652	0.82062
PLANE	210	-0.01777	0.45987	0.88781	1.74176	-0.05315	-0.09860	2.01188	0.79689	0.01101	16647	0.81958
PLANE	215	-0.02769	0.45942	0.88779	1.74403	-0.05016	-0.09853	2.01389	0.79782	0.01112	16655	0.81802
PLANE	220	-0.04652	0.46663	0.88323	1.73659	-0.04637	-0.09924	2.01617	0.80082	0.01123	16652	0.81665
PLANE	225	-0.04472	0.45174	0.89103	1.72866	-0.04637	-0.09599	1.98641	0.78561	0.01040	16662	0.82784
PLANE	230	-0.04276	0.44661	0.89371	1.71658	-0.04682	-0.09460	1.96577	0.77638	0.01025	16657	0.82987
PLANE	235	-0.04241	0.43184	0.90095	1.71874	-0.04709	-0.09147	1.94932	0.76671	0.00999	16659	0.83342
PLANE	240	-0.03607	0.44312	0.89574	1.72061	-0.04861	-0.09420	1.96554	0.77555	0.01003	16662	0.83285
PLANE	245	-0.04119	0.44344	0.89536	1.71354	-0.04728	-0.09367	1.95802	0.77267	0.00991	16658	0.83454
PLANE	250	-0.04400	0.44020	0.89682	1.71081	-0.04650	-0.09270	1.95085	0.76898	0.01002	16653	0.83311
PLANE	255	-0.04581	0.44019	0.89674	1.71340	-0.04618	-0.09313	1.95406	0.77052	0.00990	16661	0.83479
PLANE	260	-0.03178	0.44548	0.89473	1.71755	-0.04985	-0.09455	1.96494	0.77574	0.01003	16658	0.83291
PLANE	265	-0.03020	0.44244	0.89629	1.72064	-0.05038	-0.09384	1.96437	0.77464	0.01005	16654	0.83268
PLANE	270	-0.02728	0.44493	0.89515	1.72030	-0.05115	-0.09464	1.96728	0.77652	0.01011	16655	0.83176
PLANE	275	-0.03012	0.44486	0.89509	1.72876	-0.05088	-0.09450	1.97662	0.77986	0.01071	16654	0.82359
PLANE	280	-0.02850	0.46747	0.88355	1.72854	-0.05090	-0.09962	2.00742	0.79727	0.01092	16653	0.82071
PLANE	285	-0.02166	0.46785	0.88354	1.73362	-0.05219	-0.09996	2.01377	0.79960	0.01090	16646	0.82103
PLANE	290	-0.01614	0.48333	0.87529	1.73327	-0.05356	-0.10425	2.03681	0.81304	0.01107	16646	0.81874
PLANE	295	-0.01173	0.49016	0.87155	1.74178	-0.05509	-0.10627	2.05750	0.82253	0.01126	16630	0.81622
PLANE	300	-0.03160	0.50419	0.86301	1.74085	-0.05059	-0.10931	2.07919	0.83541	0.01167	16635	0.81078
PLANE	305	-0.04299	0.50895	0.85972	1.72700	-0.04818	-0.10971	2.07133	0.83448	0.01203	16650	0.80612
PLANE	310	-0.05143	0.48001	0.87575	1.72470	-0.04478	-0.10221	2.02279	0.80714	0.01140	16662	0.81432
PLANE	315	-0.04918	0.47861	0.87665	1.71839	-0.04546	-0.10241	2.01354	0.80350	0.01093	16671	0.82063
PLANE	320	-0.04517	0.47538	0.87862	1.70983	-0.04673	-0.10108	1.99833	0.79632	0.01060	16663	0.82508
PLANE	325	-0.03797	0.48028	0.87629	1.71503	-0.04829	-0.10201	2.01096	0.80208	0.01139	16654	0.81440
PLANE	330	-0.04451	0.47729	0.87762	1.71173	-0.04743	-0.10113	2.00302	0.79825	0.01118	16654	0.81731
PLANE	335	-0.06512	0.48284	0.87328	1.71242	-0.04070	-0.10308	2.01486	0.80553	0.01068	16669	0.82399
PLANE	340	-0.03666	0.48810	0.87202	1.71913	-0.04864	-0.10486	2.02808	0.81139	0.01120	16665	0.81693
PLANE	345	-0.04257	0.49173	0.86970	1.70970	-0.04620	-0.10505	2.02298	0.81043	0.01124	16664	0.81652
PLANE	350	-0.03297	0.48646	0.87308	1.71265	-0.04940	-0.10403	2.01772	0.80661	0.01103	16661	0.81921
PLANE	355	-0.02881	0.49285	0.86964	1.71024	-0.05141	-0.10502	2.02443	0.81071	0.01124	16651	0.81652
PLANE	360	-0.03548	0.49710	0.86697	1.71019	-0.04935	-0.10605	2.03140	0.81477	0.01152	16652	0.81276
PLANE	365	-0.02688	0.50693	0.86157	1.71793	-0.05287	-0.10829	2.05603	0.82666	0.01165	16629	0.81098
PLANE	370	-0.02526	0.50817	0.86089	1.71911	-0.05348	-0.10852	2.05939	0.82821	0.01151	16623	0.81289
PLANE	375	-0.01683	0.50903	0.86059	1.72279	-0.05591	-0.10805	2.06470	0.82981	0.01165	16596	0.81107
PLANE	380	-0.01466	0.51672	0.85603	1.72130	-0.05537	-0.11029	2.07642	0.83742	0.01164	16587	0.81118
PLANE	385	-0.02682	0.51741	0.85532	1.71674	-0.05099	-0.11096	2.07266	0.83689	0.01161	16613	0.81159
PLANE	390	-0.03236	0.50803	0.86073	1.72684	-0.05089	-0.10809	2.06812	0.83250	0.01144	16622	0.81384
PLANE	395	-0.03699	0.51127	0.85862	1.72487	-0.04879	-0.10900	2.07168	0.83561	0.01128	16631	0.81591
PLANE	400	-0.02461	0.51352	0.85772	1.71894	-0.05131	-0.10944	2.06812	0.83452	0.01126	16624	0.81614
PLANE	405	-0.03783	0.51664	0.85537	1.71045	-0.04824	-0.10975	2.06382	0.83431	0.01129	16627	0.81582
PLANE	410	-0.03327	0.50429	0.86289	1.72139	-0.04897	-0.10763	2.05592	0.82707	0.01131	16636	0.81552
PLANE	415	-0.03423	0.51788	0.85477	1.71502	-0.05269	-0.11205	2.07219	0.83607	0.01136	16547	0.81484
PLANE	420	-0.03938	0.51286	0.85757	1.72721	-0.04994	-0.11130	2.07834	0.83759	0.01157	16574	0.81208
PLANE	425	-0.04724	0.51829	0.85390	1.72165	-0.04785	-0.11315	2.08225	0.84144	0.01150	16587	0.81299
PLANE	430	-0.04505	0.50945	0.85932	1.71785	-0.04884	-0.11208	2.06297	0.83102	0.01138	16596	0.81462
PLANE	435	-0.05263	0.50239	0.86304	1.71678	-0.04565	-0.10813	2.04939	0.82414	0.01155	16618	0.81238
PLANE	440	-0.06527	0.50348	0.86154	1.71458	-0.04092	-0.10771	2.04998	0.82590	0.01147	16646	0.81345
PLANE	445	-0.06005	0.50963	0.85829	1.71729	-0.04192	-0.10929	2.06277	0.83292	0.01130	16653	0.81569
PLANE	450	-0.04939	0.51337	0.85675	1.71840	-0.04579	-0.11108	2.06964	0.83644	0.01147	16639	0.81337
PLANE	455	-0.05478	0.50825	0.85946	1.71057	-0.04483	-0.10846	2.05156	0.82709	0.01175	16623	0.80974
PLANE	460	-0.05089	0.50181	0.86348	1.70764	-0.04472	-0.10654	2.03690	0.81967	0.01169	16640	0.81057
PLANE	465	-0.04803	0.51204	0.85762	1.71046	-0.04512	-0.10937	2.05720	0.83097	0.01132	16646	0.81542
